MARK,LINE_NUM,SPEC_FILE,DB_CODE,DESCRIPTION,SHORT_DESC,SIZE,MAIN_NOM,RED_NOM,THK_NOM,QTY,TAG,LENGTH,WEIGHT
66,,CS4SA1,CHS,"CHECK VALVE, 600LB FLG",CHECK VAL FLG,"6""","6""",,7.112,2,CKV23A0B2B,559,480.80
60,,CS2SA1,CPL,"CPLG, SW 3000LB FS, ASTM A-105",SW CPLG,"3/4""","3/4""",,3.9116,1,,,0.19
14,,CS2SA1,CRE,"RED CONC, SCH STD, ASTM A234 GR WPB",Concentric Reducing Buttweld,"6""x4""","6""","4""",7.11,2,,,8.93
22,,CS4SA1,CRE,"REDUCER, CONC S/STD, ASTM A-234 GR WPB",CONC RED,"4""x2""","4""","2""",6.0198,1,,,1.41
23,,CS2SA1,CRE,"REDUCER, CONC S/STD, ASTM A-234 GR WPB",CONC RED,"4""x3""","4""","3""",6.0198,1,,,1.59
25,,CS4SA1,CRE,"REDUCER, CONC S/STD, ASTM A-234 GR WPB",CONC RED,"6""x4""","6""","4""",7.112,1,,,3.67
28,,CS2SA1,GAS,"GASKET, 150LB, 1/8"" THK",Gasket,"4""","4""",,,2,,,2.00
29,,CS2SA1,GAS,"GASKET, 150LB, 1/8"" THK",Gasket,"6""","6""",,,4,,,4.00
48,,CS2SA1,GAS,"GASKET, 1/8"" THK, 150LB",GASKET,"1""","1""",,,1,,,1.00
49,,CS4SA1,GAS,"GASKET, 1/8"" THK, 600LB",GASKET,"2""","2""",,,2,,,2.00
50,,CS4SA1,GAS,"GASKET, 1/8"" THK, 600LB",GASKET,"3""","3""",,,2,,,2.00
51,,CS2SA1,GAS,"GASKET, 1/8"" THK, 150LB",GASKET,"3/4""","3/4""",,,4,,,4.00
52,,CS2SA1,GAS,"GASKET, 1/8"" THK, 150LB",GASKET,"4""","4""",,,3,,,3.00
53,,CS4SA1,GAS,"GASKET, 1/8"" THK, 600LB",GASKET,"6""","6""",,,6,,,6.00
54,,CS2SA1,GAS,"GASKET, 1/8"" THK, 150LB",GASKET,"8""","8""",,,1,,,1.00
61,,CS2SA1,GAT,"GATE VALVE, FLG, 150LB",Gate Valve Buttweld/Flanged,"6""","6""",,7.11,2,GAV21A0B2B,267,158.76
67,,CS2SA1,GAT,"GATE VALVE, 150LB FLG",GATE VAL FLG,"4""","4""",,6.0198,1,GAV21A0B2B,229,49.89
68,,CS4SA1,GAT,"GATE VALVE, 600LB FLG",GATE VAL FLG,"6""","6""",,7.112,2,GAV23A0B2B,559,580.60
69,,CS2SA1,GLB,"GLOBE VALVE, 800LB SW",GLOBE VAL SW,"3/4""","3/4""",,3.9116,6,GLV24F0B2B,76,13.74
55,,CS4SA1,NIP,"NIPPLE, S/XXS SMLS, ASTM A-106 GR B",NIPPLE,"3/4""","3/4""",,3.9116,1,,100,0.04
56,,CS2SA1,NIP,"NIPPLE, S/XXS SMLS, ASTM A-106 GR B",NIPPLE,"3/4""","3/4""",,3.9116,1,,100,0.06
1,,CS2SA1,PE,"PIPE, S/XS SMLS, ASTM A-106 GR B",PIPE,"1""","1""",,4.5466,1,,1077,3.48
2,,CS2SA1,PE,"PIPE, S/XS SMLS, ASTM A-106 GR B",PIPE,"3/4""","3/4""",,3.9116,1,,4082,8.94
19,,CS4SA1,RTE,"TEE, REDUCING S/STD, ASTM A-234 GR WPB",TEE RED,"6""x3""","6""","3""",7.112,1,,,12.97
20,,CS2SA1,RTE,"TEE, REDUCING S/STD, ASTM A-234 GR WPB",TEE RED,"8""x4""","8""","4""",8.1788,1,,,24.95
62,,CS2SA1,SOL,"SOCKOLET, 3000LB FS, ASTM A-105",SOL,"6""x3/4""","6""","3/4""",,8,,,1.20
63,,CS4SA1,SOL,"SOCKOLET, 6000LB FS, ASTM A-105",SOL,"6""x3/4""","6""","3/4""",,1,,,0.36
35,,CS2SA1,SW,"FLG, RF SLIP-ON 150LB, ASTM A-105",FLG. RFSO,"1""","1""",,4.5466,1,,,0.91
36,,CS2SA1,SW,"FLG, RF SLIP-ON 150LB, ASTM A-105",FLG. RFSO,"3/4""","3/4""",,3.9116,6,,,5.46
39,,CS2SA1,SW,"FLG, RFSW 150LB S/XS BORE, ASTM A-105",FLG. RFSW,"1""","1""",,4.5466,1,,,0.91
40,,CS2SA1,SW,"FLG, RFSW 150LB S/XS BORE, ASTM A-105",FLG. RFSW,"3/4""","3/4""",,3.9116,2,,,1.82
21,,CS2SA1,SWC,"REDUCER, CONC S/XS, ASTM A-234 GR WPB",CONC RED,"2""x1""","2""","1""",3.9116,2,,,0.92
15,,CS2SA1,TEE,"TEE, STR. S/STD, ASTM A-234 GR WPB",TEE STR,"2""","2""",,3.9116,1,,,1.32
16,,CS2SA1,TEE,"TEE, STR. S/STD, ASTM A-234 GR WPB",TEE STR,"6""","6""",,7.112,2,,,28.40
58,,CS2SA1,TEE,"TEE, STR. SW 3000LB FS, ASTM A-105",TEE SW STR,"3/4""","3/4""",,3.9116,3,,,1.17
17,,CS2SA1,WNK,"FLG WELD NECK, 150LB, SCH STD, ASTM A105",Flange Weld Neck,"4""","4""",,6.02,4,,,29.94
18,,CS2SA1,WNK,"FLG WELD NECK, 150LB, SCH STD, ASTM A105",Flange Weld Neck,"6""","6""",,7.11,4,,,47.17
30,,CS4SA1,WNK,"FLG, RFWN 600LB S/STD BORE, ASTM A-105",FLG. RFWN,"2""","2""",,3.9116,4,,,21.76
31,,CS4SA1,WNK,"FLG, RFWN 600LB S/STD BORE, ASTM A-105",FLG. RFWN,"3""","3""",,5.4864,2,,,20.86
32,,CS2SA1,WNK,"FLG, RFWN 150LB S/STD BORE, ASTM A-105",FLG. RFWN,"4""","4""",,6.0198,3,,,20.40
33,,CS4SA1,WNK,"FLG, RFWN 600LB S/STD BORE, ASTM A-105",FLG. RFWN,"6""","6""",,7.112,4,,,146.96
34,,CS2SA1,WNK,"FLG, RFWN 150LB S/STD BORE, ASTM A-105",FLG. RFWN,"8""","8""",,8.1788,1,,,17.69
37,,CS2SA1,WNK,"FLG, RF SLIP-ON 150LB, ASTM A-105",FLG. RFSO,"6""","6""",,7.112,1,,,8.62
38,,CS2SA1,WNK,"FLG, RF SLIP-ON 150LB, ASTM A-105",FLG. RFSO,"8""","8""",,8.1788,1,,,13.61
24,,CS4SA1,WOL,"REDUCER, CONC S/STD, ASTM A-234 GR WPB",CONC RED,"6""x2""","6""","2""",7.112,1,,,3.18
64,,CS2SA1,WOL,"WELDOLET, SCH STD, ASTM A-105",WOL,"6""x2""","6""","2""",,1,,,0.79
