,index,description_spec,description_piping,weight_spec,weight_piping,bolt_length_spec,bolt_length_piping,sch_piping,rating_piping
43,"CS1SC2 90L 14""  -","ASTM A234 Gr.WPB, 90 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 90 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH STD",0.0,68.0,-,-,STD,-
78,"CS1SC2 GLB 2-1/2""  -","Angle Hose Valve THD, MSS SP-80, B62 UNS C83600, 300 PSI CWP, FNPTxNH w/Cap&Chain, FNPT B1.20.1&NH NFPA 1963, Screw Bonnet, Renewable Disc, Integral Seat Disc Rubber, PKG Non Asbestos, Disc&Stem Bronze, Rising Stem, HO, UL LISTED/FM APPROVED","ANGLE HOSE VALVE THD, MSS SP-80, B62 UNS C83600, 300 PSI CWP, FNPTxNH W/CAP AND CHAIN, FNPT B1.20.1 AND NH NFPA 1963, SCREW-IN BONNET, RENEWABLE DISC, PKG NON ASBESTOS, DISC&STEM BRONZE, RISING STEM, HO, UL LISTED/FM APPROVED",0.0,7.08,-,-,-,-
79,"CS1SC2 NIP 2-1/2"" x100mm -","ASTM A53 Gr.B, Seamless, Nipple, L = 100mm, ASME B36.10, NPTM End/BE","NIPPLE, SMLS, CS, ASTM A53 GR B, ASME B36.10, BExTE, SCH 160 L= 100 mm",0.0,1.49,-,-,160,-
82,"CS1SC2 TEE 14""  -","ASTM A234 Gr.WPB, Equal tee, Seamless, ASME B16.9, BW Ends","STRAIGHT TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH STD",0.0,93.0,-,-,STD,-
83,"CS1SC2 WOL 14"" x2-1/2"" -","ASTM A105, Weldolet, MSS SP-97, BW Ends","WELDOLET, CS, ASTM A105, MSS SP-97, BW, SCH 30",0.0,0.0,-,-,30,-
89,"CS1SC2 GAT 14""  -","Gate Valve Flanged Ends, API 600, Seat Leakage as per API 598, ASTM A216 Gr.WCB, Class 150, RF, Ends as per ASME B16.5, GO","GATE VALVE FL, MSS SP-128 TYPE II, A536 Gr 65-45-12, CL 125, FF, B16.1, BB, NON METALLIC FLAT GASKET EPDM, PKG EPDM, SOLID WEDGE, WEDGE DUCTILE IRON EPDM ENCAPSULATED, STEM BRONZE, OS&Y/RSNRO, HO, UL LISTED/FM APPROVED",0.0,284.0,-,-,-,125
92,"CS1SC2 ERE 16"" x14"" -","ASTM A234 Gr.WPB, Eccentric reducer, Seamless, ASME B16.9, BW Ends","ECCENTRIC REDUCER, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH STDxSTD",0.0,43.8,-,-,STDxSTD,-
93,"CS1SC2 TEE 16""  -","ASTM A234 Gr.WPB, Equal tee, Seamless, ASME B16.9, BW Ends","STRAIGHT TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH STD",0.0,115.0,-,-,STD,-
94,"CS1SC2 BOLT 1"" x150mm (16"", # 150) -","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.89,82.55,150.0,-,-
95,"CS1SC2 BOLT 1"" x0mm (16"", # 150) BTY","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.0,82.55,0.0,-,-
96,"CS1SC2 BOLT 1"" x180mm (16"", # 150) F8","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.991,82.55,180.0,-,-
102,"CS1SC2 90L 16""  -","ASTM A234 Gr.WPB, 90 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 90 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH STD",0.0,89.2,-,-,STD,-
104,"CS1SC2 WNK 16""  -","Flange, ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, FF, SCH STD",0.0,61.68,-,-,STD,150
105,"CS1SC2 GAT 16""  -","Gate Valve Flanged Ends, API 600, Seat Leakage as per API 598, ASTM A216 Gr.WCB, Class 150, RF, Ends as per ASME B16.5, GO","GATE VALVE FL, MSS SP-128 TYPE II, A536 Gr 65-45-12, CL 125, FF, B16.1, BB, NON METALLIC FLAT GASKET EPDM, PKG EPDM, SOLID WEDGE, WEDGE DUCTILE IRON EPDM ENCAPSULATED, STEM BRONZE, OS&Y/RSNRO, HO, UL LISTED/FM APPROVED",0.0,370.0,-,-,-,125
106,"CS1SC2 RTE 16"" x14"" -","ASTM A234 Gr.WPB, Reducing tee, Seamless, ASME B16.9, BW Ends","REDUCING TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH STDxSTD",0.0,43.8,-,-,STDxSTD,-
108,"CS1SC2 GAS 16""  -","Aramid Fiber Reinforced NBR, Nonmetallic Flat Gasket, ASME B16.21, FF as per ASME B16.5, Thk=1/8in","NONMETALLIC FLAT GASKET, ARAMID FIBER REINFORCED NBR, ASME B16.21, THK 1/8"", CLASS 150, FF",0.0,0.3,-,-,-,150
110,"CS1SC2 BE 16""  -","Pipe, ASTM A53 Gr.B, Seamless, ASME B36.10, BE, Coating: Single Fusion Bonded Epoxy.","PIPE, SMLS, CS, ASTM A53 GR B, ASME B36.10, BE, SCH STD",0.0,93.27,-,-,STD,-
123,"CS1SC2 45L 16""  -","ASTM A234 Gr.WPB, 45 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 45 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH STD",0.0,48.0,-,-,STD,-
132,"CS1SC2 BOLT 5/8"" x95mm (2-1/2"", # 150) -","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.229,57.15,95.0,-,-
133,"CS1SC2 BOLT 5/8"" x0mm (2-1/2"", # 150) BTY","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.0,57.15,0.0,-,-
134,"CS1SC2 BOLT 5/8"" x110mm (2-1/2"", # 150) F8","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.248,57.15,110.0,-,-
135,"CS1SC2 BOLT 3/4"" x115mm (6"", # 150) -","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.401,63.5,115.0,-,-
136,"CS1SC2 BOLT 3/4"" x0mm (6"", # 150) BTY","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.0,63.5,0.0,-,-
137,"CS1SC2 BOLT 3/4"" x125mm (6"", # 150) F8","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.42,63.5,125.0,-,-
139,"CS1SC2 WNK 2-1/2""  -","Flange, ASTM A105, Weldneck Flange, ASME B16.5, FF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, FF, SCH 30",0.0,4.97,-,-,30,150
140,"CS1SC2 GAT 2-1/2""  -","Hose Gate Valve THD, MSS SP-80, B62 UNS C83600, 300 PSI CWP, FNPT x NH w/Cap and Chain, FNPT B1.20.1 and NH NFPA 1963, Screwed Bonnet, Packing: Non Asbestos, Solid Wedge B62, Seat&Stem: Bronze, Non Rising Stem, HO, UL LISTED/FM APPROVED","HOSE GATE VALVE THD, MSS SP-80, B62 UNS C83600, 300 PSI CWP, FNPTxNH W/CAP AND CHAIN, FNPT B1.20.1 AND NH NFPA 1963, SCREWED BONNET, PKG NON ASBESTOS, SOLID WEDGE, WEDGE B62, SEAT&STEM BRONZE, NON RISING STEM, HO, UL LISTED/FM APPROVED",0.0,8.39,-,-,-,-
142,"CS1SC2 TEE 2-1/2""  -","ASTM A234 Gr.WPB, Equal tee, Seamless, ASME B16.9, BW Ends","STRAIGHT TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 30",0.0,2.69,-,-,30,-
143,"CS1SC2 GAS 2-1/2""  -","Aramid Fiber Reinforced NBR, Nonmetallic Flat Gasket, ASME B16.21, FF as per ASME B16.5, Thk=1/8in","NONMETALLIC FLAT GASKET, ARAMID FIBER REINFORCED NBR, ASME B16.21, THK 1/8"", CLASS 150, FF",0.0,0.03,-,-,-,150
144,"CS1SC2 BE 2-1/2""  -","Pipe, ASTM A53 Gr.B, Seamless, ASME B36.10, BE, Coating: Single Fusion Bonded Epoxy.","PIPE, SMLS, CS, ASTM A53 GR B, ASME B36.10, BE, SCH 30",0.0,8.04,-,-,30,-
145,"CS1SC2 ERE 6"" x2-1/2"" -","ASTM A234 Gr.WPB, Eccentric reducer, Seamless, ASME B16.9, BW Ends","ECCENTRIC REDUCER, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 40x30",0.0,0.0,-,-,40x30,-
146,"CS1SC2 WNK 6""  -","Flange, ASTM A105, Weldneck Flange, ASME B16.5, FF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, FF, SCH 40",0.0,10.91,-,-,40,150
147,"CS1SC2 GAS 6""  -","Aramid Fiber Reinforced NBR, Nonmetallic Flat Gasket, ASME B16.21, FF as per ASME B16.5, Thk=1/8in","NONMETALLIC FLAT GASKET, ARAMID FIBER REINFORCED NBR, ASME B16.21, THK 1/8"", CLASS 150, FF",0.0,0.06,-,-,-,150
148,"CS1SC2 BOLT 5/8"" x90mm (2"", # 150) -","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.222,50.8,90.0,-,-
149,"CS1SC2 BOLT 5/8"" x0mm (2"", # 150) BTY","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.0,50.8,0.0,-,-
150,"CS1SC2 BOLT 5/8"" x100mm (2"", # 150) F8","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.235,50.8,100.0,-,-
151,"CS1SC2 GAT 2""  -","Gate Valve Flanged Ends, MSS SP-128 Type II, ASTM A536 Grade 65-45-12, Class 125, FF, Ends as per ASME B16.1, Bolted Bonnet,","GATE VALVE FL, MSS SP-128 TYPE II, A536 Gr 65-45-12, CL 125, FF, B16.1, BB, NON METALLIC FLAT GASKET EPDM, PKG EPDM, SOLID WEDGE, WEDGE DUCTILE IRON EPDM ENCAPSULATED, STEM BRONZE, OS&Y/RSNRO, HO, UL LISTED/FM APPROVED",0.0,19.0,-,-,-,-
152,"CS1SC2 GAS 2""  -","Aramid Fiber Reinforced NBR, Nonmetallic Flat Gasket, ASME B16.21, FF as per ASME B16.5, Thk=1/8in","NONMETALLIC FLAT GASKET, ARAMID FIBER REINFORCED NBR, ASME B16.21, THK 1/8"", CLASS 150, FF",0.0,0.03,-,-,-,150
153,"CS1SC2 WNK 4""  -","Flange, ASTM A105, Weldneck Flange, ASME B16.5, FF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, FF, SCH 30",0.0,7.11,-,-,30,150
154,"CS1SC2 BE 4""  -","Pipe, ASTM A53 Gr.B, Seamless, ASME B36.10, BE, Coating: Single Fusion Bonded Epoxy.","PIPE, SMLS, CS, ASTM A53 GR B, ASME B36.10, BE, SCH 30",0.0,12.91,-,-,30,-
155,"CS1SC2 ERE 6"" x4"" -","ASTM A234 Gr.WPB, Eccentric reducer, Seamless, ASME B16.9, BW Ends","ECCENTRIC REDUCER, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 40x30",0.0,0.0,-,-,40x30,-
156,"CS1SC2 BOLT 5/8"" x100mm (4"", # 150) -","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.235,57.15,100.0,-,-
157,"CS1SC2 BOLT 5/8"" x0mm (4"", # 150) BTY","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.0,57.15,0.0,-,-
158,"CS1SC2 BOLT 5/8"" x115mm (4"", # 150) F8","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.254,57.15,115.0,-,-
160,"CS1SC2 GAS 4""  -","Aramid Fiber Reinforced NBR, Nonmetallic Flat Gasket, ASME B16.21, FF as per ASME B16.5, Thk=1/8in","NONMETALLIC FLAT GASKET, ARAMID FIBER REINFORCED NBR, ASME B16.21, THK 1/8"", CLASS 150, FF",0.0,0.05,-,-,-,150
162,"CS1SC2 RTE 8"" x4"" -","ASTM A234 Gr.WPB, Reducing tee, Seamless, ASME B16.9, BW Ends","REDUCING TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20x30",0.0,28.0,-,-,20x30,-
185,"CS1SC2 90L 6""  -","ASTM A234 Gr.WPB, 90 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 90 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 40",0.0,10.2,-,-,40,-
187,"CS1SC2 TEE 6""  -","ASTM A234 Gr.WPB, Equal tee, Seamless, ASME B16.9, BW Ends","STRAIGHT TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 40",0.0,16.48,-,-,40,-
188,"CS1SC2 WOL 6"" x2-1/2"" -","ASTM A105, Weldolet, MSS SP-97, BW Ends","WELDOLET, CS, ASTM A105, MSS SP-97, BW, SCH 30",0.0,1.81,-,-,30,-
191,"CS1SC2 BE 6""  -","Pipe, ASTM A53 Gr.B, Seamless, ASME B36.10, BE, Coating: Single Fusion Bonded Epoxy.","PIPE, SMLS, CS, ASTM A53 GR B, ASME B36.10, BE, SCH 40",0.0,28.26,-,-,40,-
192,"CS1SC2 WOL 14"" x6"" -",WELDOLET,"WELDOLET, CS, ASTM A105, MSS SP-97, BW, SCH 40",0.0,6.44,-,-,40,-
198,"CS1SC2 45L 6""  -","ASTM A234 Gr.WPB, 45 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 45 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 40",0.0,5.1,-,-,40,-
201,"CS1SC2 CRE 8"" x6"" -","ASTM A234 Gr.WPB, Concentric reducer, Seamless, ASME B16.9, BW Ends","CONCENTRIC REDUCER, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20x40",0.0,6.5,-,-,20x40,-
202,"CS1SC2 BOLT 5/8"" x100mm (3"", # 150) -","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.235,57.15,100.0,-,-
203,"CS1SC2 BOLT 5/8"" x0mm (3"", # 150) BTY","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.0,57.15,0.0,-,-
204,"CS1SC2 BOLT 5/8"" x110mm (3"", # 150) F8","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B1.1/B18.2.2",0.0,0.248,57.15,110.0,-,-
217,"CS1SC2 WNK 3""  -","Flange, ASTM A105, Weldneck Flange, ASME B16.5, FF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 150, FF, SCH 30",0.0,4.97,-,-,30,150
218,"CS1SC2 GAT 3""  -","Gate Valve Flanged Ends, MSS SP-128 Type II, ASTM A536 Grade 65-45-12, Class 125, FF, Ends as per ASME B16.1, Bolted Bonnet,","GATE VALVE FL, MSS SP-128 TYPE II, A536 Gr 65-45-12, CL 125, FF, B16.1, BB, NON METALLIC FLAT GASKET EPDM, PKG EPDM, SOLID WEDGE, WEDGE DUCTILE IRON EPDM ENCAPSULATED, STEM BRONZE, OS&Y/RSNRO, HO, UL LISTED/FM APPROVED",0.0,29.0,-,-,-,-
219,"CS1SC2 GAS 3""  -","Aramid Fiber Reinforced NBR, Nonmetallic Flat Gasket, ASME B16.21, FF as per ASME B16.5, Thk=1/8in","NONMETALLIC FLAT GASKET, ARAMID FIBER REINFORCED NBR, ASME B16.21, THK 1/8"", CLASS 150, FF",0.0,0.03,-,-,-,150
224,"CS1SC2 GAT 6""  -","Gate Valve Flanged Ends, MSS SP-128 Type II, ASTM A536 Grade 65-45-12, Class 125, FF, Ends as per ASME B16.1, Bolted Bonnet,","GATE VALVE FL, MSS SP-128 TYPE II, A536 Gr 65-45-12, CL 125, FF, B16.1, BB, NON METALLIC FLAT GASKET EPDM, PKG EPDM, SOLID WEDGE, WEDGE DUCTILE IRON EPDM ENCAPSULATED, STEM BRONZE, OS&Y/RSNRO, HO, UL LISTED/FM APPROVED",0.0,68.0,-,-,-,-
225,"CS1SC2 RTE 6"" x3"" -","ASTM A234 Gr.WPB, Reducing tee, Seamless, ASME B16.9, BW Ends","REDUCING TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 40x30",0.0,16.0,-,-,40x30,-
273,"CS1SC2 GAT 8""  -","Gate Valve Flanged Ends, MSS SP-128 Type II, ASTM A536 Grade 65-45-12, Class 125, FF, Ends as per ASME B16.1, Bolted Bonnet,","GATE VALVE FL, MSS SP-128 TYPE II, A536 Gr 65-45-12, CL 125, FF, B16.1, BB, NON METALLIC FLAT GASKET EPDM, PKG EPDM, SOLID WEDGE, WEDGE DUCTILE IRON EPDM ENCAPSULATED, STEM BRONZE, OS&Y/RSNRO, HO, UL LISTED/FM APPROVED",0.0,104.0,-,-,-,-
274,"CS1SC2 TEE 8""  -","ASTM A234 Gr.WPB, Equal tee, Seamless, ASME B16.9, BW Ends","STRAIGHT TEE, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20",0.0,29.0,-,-,20,-
278,"CS2SA1 BOLT 1/2"" x70mm (3/4"", # 150) -","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.125,38.1,70.0,-,-
279,"CS2SA1 BOLT 1/2"" x0mm (3/4"", # 150) BTY","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.0,38.1,0.0,-,-
280,"CS2SA1 BOLT 1/2"" x75mm (3/4"", # 150) F8","Stud bolt with 2 heavy hexagonal nuts, Full Length Threaded, ASME B1.1/ASME B18.2.2, A193 Gr.B7/A194 Gr.2H","STUD BOLTS W/2 HVY HEX NUTS, CS, ASTM A193 GR B7/A194 GR 2H, ASME B18.2.1/B18.2.2",0.0,0.129,38.1,75.0,-,-
281,"CS2SA1 BAL 3/4""  -","Ball Valve with integral welded 2 Nipples, Reduced Bore, Floating Ball, API 608, Seat Leakage as per API 598, ASTM A105, Class 800, SW Ends w/ 2 PE Nipples, LO","BALL VALVE W/INTEGRAL WELDED 2 NIPPLES, FB, FLOATING BALL, API 608, API 598, A105, CL 800, SW W/2 PE NIPPLES, MNF STD, SS316 BALL, SS316 STEM, 2 OR 3 PCS SPLIT BODY SIDE ENTRY, API 607, LO",0.0,2.4,-,-,-,-
