SPEC,TYPE,TYPE_CODE,ORDER,DESCRIPTION,SHORT_DESCRIPTION,FIRST_SIZE,FIRST_SIZE_NUMBER,SECOND_SIZE,SECOND_SIZE_NUMBER,SCH,FACE,RATING,WEIGHT,AREA,TAG,SUPPLY_CODE,SUPPLY_TITLE,SUPPLY_DESCRIPTION,MANUFACTURING_CODE,MANUFACTURING_TITLE,MANUFACTURING_DESCRIPTION,ERECTION_CODE,ERECTION_TITLE,ERECTION_DESCRIPTION
CS6SA1,PP,BE,1,"API 5L Gr.X65, S-80, Seamless, ASME B36.10, PSL2, BE","PIPE, SEAMLESS, CS, API 5L Gr.X65, ASME B36.10, PSL2, BE, SCH 80","12""",12,-,-,80,BE,-,132.05,323.9,-,4.2,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE, SCH 80, SMLS, BE, API 5L GR. X65, PSL2, ASME B36.10, DIAM. 12""",4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 12"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 12”
CS6SA1,PP,BE,1,"API 5L Gr.X65, S-80, Seamless, ASME B36.10, PSL2, BE","PIPE, SEAMLESS, CS, API 5L Gr.X65, ASME B36.10, PSL2, BE, SCH 80","14""",14,-,-,80,BE,-,158.11,355.6,-,4.2,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE, SCH 80, SMLS, BE, API 5L GR. X65, PSL2, ASME B36.10, DIAM. 14""",4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 14"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 14”
CS6SA1,PP,BE,1,"API 5L Gr.X65, S-80, SAWL/HFW, ASME B36.10, PSL2, BE","PIPE, SAWL / HFW, CS, API 5L Gr.X65, ASME B36.10, PSL2, BE, SCH 80","16""",16,-,-,80,BE,-,203.54,406.4,-,4.2,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE, SCH 80, SAWL/HFW, BE, API 5L GR. X65, PSL2, ASME B36.10, DIAM. 16""",4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 16"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 16”
CS6SA1,PP,BE,1,"API 5L Gr.X65, S-80, SAWL/HFW, ASME B36.10, PSL2, BE","PIPE, SAWL / HFW, CS, API 5L Gr.X65, ASME B36.10, PSL2, BE, SCH 80","18""",18,-,-,80,BE,-,254.57,457,-,4.2,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE, SCH 80, SAWL/HFW, BE, API 5L GR. X65, PSL2, ASME B36.10, DIAM. 18""",4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 18"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 18”
CS6SA1,PP,BE,1,"API 5L Gr.X65, S-80, SAWL/HFW, ASME B36.10, PSL2, BE","PIPE, SAWL / HFW, CS, API 5L Gr.X65, ASME B36.10, PSL2, BE, SCH 80","20""",20,-,-,80,BE,-,311.19,508,-,4.2,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE, SCH 80, SAWL/HFW, BE, API 5L GR. X65, PSL2, ASME B36.10, DIAM. 20""",4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 20"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 20”
CS6SA1,PP,BE,1,"API 5L Gr.X65, S-80, SAWL/HFW, ASME B36.10, PSL2, BE","PIPE, SAWL / HFW, CS, API 5L Gr.X65, ASME B36.10, PSL2, BE, SCH 80","24""",24,-,-,80,BE,-,442.11,610,-,4.2,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,"SUMINISTRO DE PIPE, SCH 80, SAWL/HFW, BE, API 5L GR. X65, PSL2, ASME B36.10, DIAM. 24""",4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 24"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 24”
CS6SA1,FL,SW,3,"ASTM A105, ASME B16.5, RTJ face/SW End","SOCKETWELD FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RTJ","1/2""",0.5,-,-,-,RTJ,1500,1.8,0,-,4.2,SUMINISTRO DE SOCKETWELD FLANGE,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2 """,4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,"MONTAJE AÉREO DE TUBERÍA DE Ø < 2 """
CS6SA1,FL,SW,3,"ASTM A105, ASME B16.5, RTJ face/SW End","SOCKETWELD FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RTJ","3/4""",0.75,-,-,-,RTJ,1500,2.3,0,-,4.2,SUMINISTRO DE SOCKETWELD FLANGE,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2 """,4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,"MONTAJE AÉREO DE TUBERÍA DE Ø < 2 """
CS6SA1,FL,SW,3,"ASTM A105, ASME B16.5, RTJ face/SW End","SOCKETWELD FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RTJ","1""",1,-,-,-,RTJ,1500,3.7,0,-,4.2,SUMINISTRO DE SOCKETWELD FLANGE,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2 """,4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,"MONTAJE AÉREO DE TUBERÍA DE Ø < 2 """
CS6SA1,FL,SW,3,"ASTM A105, ASME B16.5, RTJ face/SW End","SOCKETWELD FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RTJ","1-1/2""",1.5,-,-,-,RTJ,1500,5.5,0,-,4.2,SUMINISTRO DE SOCKETWELD FLANGE,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2 """,4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,"MONTAJE AÉREO DE TUBERÍA DE Ø < 2 """
CS6SA1,FL,WNK,3,"ASTM A105, Weldneck Flange, ASME B16.5, RTJ face/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RTJ, SCH 160","2""",2,-,-,160,RTJ,1500,11.37,0,-,4.2,SUMINISTRO DE FLANGE,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 2"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 2”
CS6SA1,FL,WNK,3,"ASTM A105, Weldneck Flange, ASME B16.5, RTJ face/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RTJ, SCH 160","3""",3,-,-,160,RTJ,1500,20.53,0,-,4.2,SUMINISTRO DE FLANGE,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 3"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 3”
CS6SA1,FL,WNK,3,"ASTM A105, Weldneck Flange, ASME B16.5, RTJ face/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RTJ, SCH 120","4""",4,-,-,120,RTJ,1500,30.73,0,-,4.2,SUMINISTRO DE FLANGE,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 4"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 4”
CS6SA1,FL,WNK,3,"ASTM A105, Weldneck Flange, ASME B16.5, RTJ face/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RTJ, SCH 120","6""",6,-,-,120,RTJ,1500,71.96,0,-,4.2,SUMINISTRO DE FLANGE,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 6"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 6”
CS6SA1,FL,WNK,3,"ASTM A105, Weldneck Flange, ASME B16.5, RTJ face/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RTJ, SCH 120","8""",8,-,-,120,RTJ,1500,125.93,0,-,4.2,SUMINISTRO DE FLANGE,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 8"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 8”
CS6SA1,FL,WNK,3,"ASTM A694 Gr.F65, Weldneck Flange, ASME B16.5, RTJ face/BW End, Impact Test At 32°F According to Para 423.2.3 of ASME B31.4 For Acceptance Criteria.","WELD NECK FLANGE, CS, ASTM A694 Gr.F65, IMPACT TEST AT 32°F ACCORDING TO PARA 423.2.3 OF ASME B16.5, ASME B31.4 FOR ACCEPTANCE CRITERIA, CLASS 1500, RTJ, SCH 60","10""",10,-,-,60,RTJ,1500,205.63,0,-,4.2,SUMINISTRO DE FLANGE,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 10"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 10”
CS6SA1,FL,WNK,3,"ASTM A694 Gr.F65, Weldneck Flange, ASME B16.5, RTJ face/BW End, Impact Test At 32°F According to Para 423.2.3 of ASME B31.4 For Acceptance Criteria.","WELD NECK FLANGE, CS, ASTM A694 Gr.F65, IMPACT TEST AT 32°F ACCORDING TO PARA 423.2.3 OF ASME B16.5, ASME B31.4 FOR ACCEPTANCE CRITERIA, CLASS 1500, RTJ, SCH 80","12""",12,-,-,80,RTJ,1500,317.89,0,-,4.2,SUMINISTRO DE FLANGE,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 12"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 12”
CS6SA1,FL,WNK,3,"ASTM A694 Gr.F65, Weldneck Flange, ASME B16.5, RTJ face/BW End, Impact Test At 32°F According to Para 423.2.3 of ASME B31.4 For Acceptance Criteria.","WELD NECK FLANGE, CS, ASTM A694 Gr.F65, IMPACT TEST AT 32°F ACCORDING TO PARA 423.2.3 OF ASME B16.5, ASME B31.4 FOR ACCEPTANCE CRITERIA, CLASS 1500, RTJ, SCH 80","14""",14,-,-,80,RTJ,1500,417.81,0,-,4.2,SUMINISTRO DE FLANGE,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 14"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 14”
CS6SA1,FL,WNK,3,"ASTM A694 Gr.F65, Weldneck Flange, ASME B16.5, RTJ face/BW End, Impact Test At 32°F According to Para 423.2.3 of ASME B31.4 For Acceptance Criteria.","WELD NECK FLANGE, CS, ASTM A694 Gr.F65, IMPACT TEST AT 32°F ACCORDING TO PARA 423.2.3 OF ASME B16.5, ASME B31.4 FOR ACCEPTANCE CRITERIA, CLASS 1500, RTJ, SCH 80","16""",16,-,-,80,RTJ,1500,534.2,0,-,4.2,SUMINISTRO DE FLANGE,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 16"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 16”
CS6SA1,FL,WNK,3,"ASTM A694 Gr.F65, Weldneck Flange, ASME B16.5, RTJ face/BW End, Impact Test At 32°F According to Para 423.2.3 of ASME B31.4 For Acceptance Criteria.","WELD NECK FLANGE, CS, ASTM A694 Gr.F65, IMPACT TEST AT 32°F ACCORDING TO PARA 423.2.3 OF ASME B16.5, ASME B31.4 FOR ACCEPTANCE CRITERIA, CLASS 1500, RTJ, SCH 80","18""",18,-,-,80,RTJ,1500,700.34,0,-,4.2,SUMINISTRO DE FLANGE,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 18"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 18”
CS6SA1,FL,WNK,3,"ASTM A694 Gr.F65, Weldneck Flange, ASME B16.5, RTJ face/BW End, Impact Test At 32°F According to Para 423.2.3 of ASME B31.4 For Acceptance Criteria.","WELD NECK FLANGE, CS, ASTM A694 Gr.F65, IMPACT TEST AT 32°F ACCORDING TO PARA 423.2.3 OF ASME B16.5, ASME B31.4 FOR ACCEPTANCE CRITERIA, CLASS 1500, RTJ, SCH 80","20""",20,-,-,80,RTJ,1500,864.46,0,-,4.2,SUMINISTRO DE FLANGE,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 20"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 20”
CS6SA1,FL,WNK,3,"ASTM A694 Gr.F65, Weldneck Flange, ASME B16.5, RTJ face/BW End, Impact Test At 32°F According to Para 423.2.3 of ASME B31.4 For Acceptance Criteria.","WELD NECK FLANGE, CS, ASTM A694 Gr.F65, IMPACT TEST AT 32°F ACCORDING TO PARA 423.2.3 OF ASME B16.5, ASME B31.4 FOR ACCEPTANCE CRITERIA, CLASS 1500, RTJ, SCH 80","24""",24,-,-,80,RTJ,1500,1388.02,0,-,4.2,SUMINISTRO DE FLANGE,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 24"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 24”
CS6SA1,FL,BLD,3,"ASTM A105, Blind Flange, ASME B16.5, RTJ face","BLIND FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RTJ","1/2""",0.5,-,-,-,RTJ,1500,1.8,0,-,4.2,SUMINISTRO DE BLIND FLANGE #1500,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2 """,4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,"MONTAJE AÉREO DE TUBERÍA DE Ø < 2 """
CS6SA1,FL,BLD,3,"ASTM A105, Blind Flange, ASME B16.5, RTJ face","BLIND FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RTJ","3/4""",0.75,-,-,-,RTJ,1500,2.7,0,-,4.2,SUMINISTRO DE BLIND FLANGE #1500,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2 """,4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,"MONTAJE AÉREO DE TUBERÍA DE Ø < 2 """
CS6SA1,FL,BLD,3,"ASTM A105, Blind Flange, ASME B16.5, RTJ face","BLIND FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RTJ","1""",1,0.010,-,-,RTJ,1500,3.7,0,-,4.2,SUMINISTRO DE BLIND FLANGE #1500,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2 """,4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,"MONTAJE AÉREO DE TUBERÍA DE Ø < 2 """
CS6SA1,FL,BLD,3,"ASTM A105, Blind Flange, ASME B16.5, RTJ face","BLIND FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RTJ","1-1/2""",1.5,0.020,-,-,RTJ,1500,5.9,0,-,4.2,SUMINISTRO DE BLIND FLANGE #1500,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2 """,4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,"MONTAJE AÉREO DE TUBERÍA DE Ø < 2 """
CS6SA1,FL,BLD,3,"ASTM A105, Blind Flange, ASME B16.5, RTJ face","BLIND FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RTJ","2""",2,0.030,-,-,RTJ,1500,10.1,0,-,4.2,SUMINISTRO DE BLIND FLANGE #1500,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 2"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 2”
CS6SA1,FL,BLD,3,"ASTM A105, Blind Flange, ASME B16.5, RTJ face","BLIND FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RTJ","3""",3,0.050,-,-,RTJ,1500,21.8,0,-,4.2,SUMINISTRO DE BLIND FLANGE #1500,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 3"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 3”
CS6SA1,FL,BLD,3,"ASTM A105, Blind Flange, ASME B16.5, RTJ face","BLIND FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RTJ","4""",4,0.060,-,-,RTJ,1500,33,0,-,4.2,SUMINISTRO DE BLIND FLANGE #1500,-,4.8,PREFABRICACIÓN DE TUBERÍA EN TALLER,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 4"" ",4.9,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 4”
