SPEC,TYPE,TYPE_CODE,ORDER,DESCRIPTION,SHORT_DESCRIPTION,FIRST_SIZE,FIRST_SIZE_NUMBER,SECOND_SIZE,SECOND_SIZE_NUMBER,SCH,FACE,RATING,WEIGHT,AREA,TAG,SUPPLY_DESCRIPTION,MANUFACTURING_DESCRIPTION,ERECTION_DESCRIPTION,DEMOLITION_DESCRIPTION
CS5SA1,PP,BE,1,"API 5L Gr.X65, S-STD, Seamless, ASME B36.10, PSL2, BE","PIPE, SEAMLESS, CS, API 5L Gr.X65, ASME B36.10, PSL2, BE, SCH STD","12""",12,-,-,STD,BE,-,73.86,323.9,-,"SUMINISTRO DE PIPE, SCH STD, SMLS, BE, API 5L GR. X65, PSL2, ASME B36.10, DIAM. 12""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 12"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 12”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 12 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,PP,BE,1,"API 5L Gr.X65, S-40, Seamless, ASME B36.10, PSL2, BE","PIPE, SEAMLESS, CS, API 5L Gr.X65, ASME B36.10, PSL2, BE, SCH 40","14""",14,-,-,40,BE,-,94.55,355.6,-,"SUMINISTRO DE PIPE, SCH 40, SMLS, BE, API 5L GR. X65, PSL2, ASME B36.10, DIAM. 14""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 14"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 14”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 14 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,PP,BE,1,"API 5L Gr.X65, S-40, SAWL/HFW, ASME B36.10, PSL2, BE","PIPE, SAWL / HFW, CS, API 5L Gr.X65, ASME B36.10, PSL2, BE, SCH 40","16""",16,-,-,40,BE,-,123.31,406.4,-,"SUMINISTRO DE PIPE, SCH 40, SAWL/HFW, BE, API 5L GR. X65, PSL2, ASME B36.10, DIAM. 16""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 16"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 16”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 16 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,PP,BE,1,"API 5L Gr.X65, S-XS, SAWL/HFW, ASME B36.10, PSL2, BE","PIPE, SAWL / HFW, CS, API 5L Gr.X65, ASME B36.10, PSL2, BE, SCH XS","18""",18,-,-,XS,BE,-,139.16,457,-,"SUMINISTRO DE PIPE, SCH XS, SAWL/HFW, BE, API 5L GR. X65, PSL2, ASME B36.10, DIAM. 18""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 18"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 18”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 18 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,PP,BE,1,"API 5L Gr.X65, S-40, SAWL/HFW, ASME B36.10, PSL2, BE","PIPE, SAWL / HFW, CS, API 5L Gr.X65, ASME B36.10, PSL2, BE, SCH 40","20""",20,-,-,40,BE,-,183.43,508,-,"SUMINISTRO DE PIPE, SCH 40, SAWL/HFW, BE, API 5L GR. X65, PSL2, ASME B36.10, DIAM. 20""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 20"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 20”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 20 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,PP,BE,1,"API 5L Gr.X65, S-40, SAWL/HFW, ASME B36.10, PSL2, BE","PIPE, SAWL / HFW, CS, API 5L Gr.X65, ASME B36.10, PSL2, BE, SCH 40","24""",24,-,-,40,BE,-,255.43,610,-,"SUMINISTRO DE PIPE, SCH 40, SAWL/HFW, BE, API 5L GR. X65, PSL2, ASME B36.10, DIAM. 24""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 24"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 24”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 24 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,FL,SW,3,"ASTM A105, Socketweld Flange, ASME B16.5, RF/SW End","SOCKETWELD FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RF","1/2""",0.5,-,-,-,RF,1500,1.8,0,-,-,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2 ""","MONTAJE AÉREO DE TUBERÍA DE Ø < 2 ""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø MENORES A 2 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,FL,SW,3,"ASTM A105, Socketweld Flange, ASME B16.5, RF/SW End","SOCKETWELD FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RF","3/4""",0.75,-,-,-,RF,1500,2.3,0,-,-,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2 ""","MONTAJE AÉREO DE TUBERÍA DE Ø < 2 ""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø MENORES A 2 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,FL,SW,3,"ASTM A105, Socketweld Flange, ASME B16.5, RF/SW End","SOCKETWELD FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RF","1""",1,-,-,-,RF,1500,3.7,0,-,-,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2 ""","MONTAJE AÉREO DE TUBERÍA DE Ø < 2 ""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø MENORES A 2 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,FL,SW,3,"ASTM A105, Socketweld Flange, ASME B16.5, RF/SW End","SOCKETWELD FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RF","1-1/2""",1.5,-,-,-,RF,1500,5.5,0,-,-,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2 ""","MONTAJE AÉREO DE TUBERÍA DE Ø < 2 ""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø MENORES A 2 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,FL,WNK,3,"ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RF, SCH 80","2""",2,-,-,80,RF,1500,11,0.03,-,"SUMINISTRO DE FLANGE WN, 1500#, SCH 80, RF, ASTM A-105, ASME B16.5 2""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 2"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 2”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 2 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,FL,WNK,3,"ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 900, RF, SCH 80","3""",3,-,-,80,RF,900,13.63,0,-,"SUMINISTRO DE FLANGE WN, 900#, SCH 80, RF, ASTM A-105, ASME B16.5 3""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 3"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 3”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 3 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,FL,WNK,3,"ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 900, RF, SCH 80","4""",4,-,-,80,RF,900,22.42,0,-,"SUMINISTRO DE FLANGE WN, 900#, SCH 80, RF, ASTM A-105, ASME B16.5 4""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 4"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 4”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 4 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,FL,WNK,3,"ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 900, RF, SCH 80","6""",6,-,-,80,RF,900,48.57,0,-,"SUMINISTRO DE FLANGE WN, 900#, SCH 80, RF, ASTM A-105, ASME B16.5 6""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 6"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 6”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 6 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,FL,WNK,3,"ASTM A105, Weldneck Flange, ASME B16.5, RF/BW End","WELD NECK FLANGE, CS, ASTM A105, ASME B16.5, CLASS 900, RF, SCH 80","8""",8,-,-,80,RF,900,83.68,0,-,"SUMINISTRO DE FLANGE WN, 900#, SCH 80, RF, ASTM A-105, ASME B16.5 8""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 8"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 8”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 8 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,FL,WNK,3,"ASTM A694 Gr.F65, Weldneck Flange, MSS SP44, RF/BW End","WELD NECK FLANGE, CS, ASTM A694 Gr.F65, MSS SP-44, CLASS 900, RF, SCH 40","10""",10,-,-,40,RF,900,118.33,0,-,-,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 10"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 10”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 10 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,FL,WNK,3,"ASTM A694 Gr.F65, Weldneck Flange, MSS SP44, RF/BW End","WELD NECK FLANGE, CS, ASTM A694 Gr.F65, MSS SP-44, CLASS 900, RF, SCH STD","12""",12,-,-,STD,RF,900,157.59,0,-,-,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 12"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 12”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 12 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,FL,WNK,3,"ASTM A694 Gr.F65, Weldneck Flange, MSS SP44, RF/BW End","WELD NECK FLANGE, CS, ASTM A694 Gr.F65, MSS SP-44, CLASS 900, RF, SCH 40","14""",14,-,-,40,RF,900,181.97,0,-,-,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 14"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 14”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 14 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,FL,WNK,3,"ASTM A694 Gr.F65, Weldneck Flange, MSS SP44, RF/BW End","WELD NECK FLANGE, CS, ASTM A694 Gr.F65, MSS SP-44, CLASS 900, RF, SCH 40","16""",16,-,-,40,RF,900,223.15,0,-,-,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 16"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 16”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 16 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,FL,WNK,3,"ASTM A694 Gr.F65, Weldneck Flange, MSS SP44, RF/BW End","WELD NECK FLANGE, CS, ASTM A694 Gr.F65, MSS SP-44, CLASS 900, RF, SCH XS","18""",18,-,-,XS,RF,900,297.91,0,-,-,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 18"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 18”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 18 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,FL,WNK,3,"ASTM A694 Gr.F65, Weldneck Flange, MSS SP44, RF/BW End","WELD NECK FLANGE, CS, ASTM A694 Gr.F65, MSS SP-44, CLASS 900, RF, SCH 40","20""",20,-,-,40,RF,900,377.02,0,-,-,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 20"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 20”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 20 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,FL,WNK,3,"ASTM A694 Gr.F65, Weldneck Flange, MSS SP44, RF/BW End","WELD NECK FLANGE, CS, ASTM A694 Gr.F65, MSS SP-44, CLASS 900, RF, SCH 40","24""",24,-,-,40,RF,900,697.43,0,-,-,"PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 24"" ",MONTAJE AÉREO DE TUBERÍA DE Ø 24”,"DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 24 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,FL,BLD,3,"ASTM A105, Blind Flange, ASME B16.5, RF","BLIND FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RF","1/2""",0.5,-,-,-,RF,1500,1.8,0,-,"SUMINISTRO DE BLIND FLANGE ASME B16.5 FLG 1500 LB RAISED FACE FORGED ASTM A105, 1/2 ""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2 ""","MONTAJE AÉREO DE TUBERÍA DE Ø < 2 ""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø MENORES A 2 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
CS5SA1,FL,BLD,3,"ASTM A105, Blind Flange, ASME B16.5, RF","BLIND FLANGE, CS, ASTM A105, ASME B16.5, CLASS 1500, RF","3/4""",0.75,-,-,-,RF,1500,2.7,0,-,"SUMINISTRO DE BLIND FLANGE ASME B16.5 FLG 1500 LB RAISED FACE FORGED ASTM A105, 3/4 ""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2 ""","MONTAJE AÉREO DE TUBERÍA DE Ø < 2 ""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø MENORES A 2 "" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)"
