SPEC,TYPE,TYPE_CODE,ORDER,DESCRIPTION,SHORT_DESCRIPTION,FIRST_SIZE,FIRST_SIZE_NUMBER,SECOND_SIZE,SECOND_SIZE_NUMBER,SCH,FACE,RATING,WEIGHT,AREA,TAG,SUPPLY_DESCRIPTION,MANUFACTURING_DESCRIPTION,ERECTION_DESCRIPTION,DEMOLITION_DESCRIPTION,Catalogacion,MATERIAL,DESIGN_CODE,MANUFACTURING
CS2SD2,FT,45L,2.0,"ASTM A234 Gr.WPB, 45 Degree elbow Long Radius (R=1.5D), Seamless, ASME  B16.9, BW Ends. ","ELBOW 45 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 40","6""",6.0,-,-,40,BW,-,5.1,0.095,-,"SUMINISTRO DE ELBOW 45° LR, SCH 40, BW, ASTM A-234 GR WPB, ASME B16.9 6""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 6"" ","MONTAJE AÉREO DE TUBERÍA DE Ø 6""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 6"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",-,,,
CS2SD2,FT,45L,2.0,"ASTM A234 Gr.WPB, 45 Degree elbow Long Radius (R=1.5D), Seamless, ASME  B16.9, BW Ends. ","ELBOW 45 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20","8""",8.0,-,-,20,BW,-,9.0,0.165,-,"SUMINISTRO DE ELBOW 45° LR, SCH 20, BW, ASTM A-234 GR WPB, ASME B16.9 8""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 8"" ","MONTAJE AÉREO DE TUBERÍA DE Ø 8""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 8"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",3028560.0,ASTM A234 GR WPB,ASME B16.9,SMLS
CS2SD2,FT,45L,2.0,"ASTM A234 Gr.WPB, 45 Degree elbow Long Radius (R=1.5D), Seamless, ASME  B16.9, BW Ends. ","ELBOW 45 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20","10""",10.0,-,-,20,BW,-,18.5,0.26,-,"SUMINISTRO DE ELBOW 45° LR, SCH 20, BW, ASTM A-234 GR WPB, ASME B16.9 10""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 10"" ","MONTAJE AÉREO DE TUBERÍA DE Ø 10""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 10"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",-,,,
CS2SD2,FT,45L,2.0,"ASTM A234 Gr.WPB, 45 Degree elbow Long Radius (R=1.5D), Seamless, ASME  B16.9, BW Ends. ","ELBOW 45 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20","12""",12.0,-,-,20,BW,-,24.75,0.37,-,"SUMINISTRO DE ELBOW 45° LR, SCH 20, BW, ASTM A-234 GR WPB, ASME B16.9 12""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 12"" ","MONTAJE AÉREO DE TUBERÍA DE Ø 12""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 12"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",-,,,
CS2SD2,FT,90L,2.0,"ASTM A105, 90 Degree elbow, ASME B16.11, SW Ends","ELBOW 90 DEG, CS, ASTM A105, ASME B16.11, SW, CLASS 6000","1/2""",0.5,-,-,-,SW,6000,0.24,0.01,-,"SUMINISTRO DE 90 DEGREE ELBOW FEMALE END ASME B16.11 SW 6000# FORGED ASTM A105, 1/2""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2""","MONTAJE AÉREO DE TUBERÍA DE Ø < 2""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø MENORES A 2"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",-,,,
CS2SD2,FT,90L,2.0,"ASTM A105, 90 Degree elbow, ASME B16.11, SW Ends","ELBOW 90 DEG, CS, ASTM A105, ASME B16.11, SW, CLASS 3000","3/4""",0.75,-,-,-,SW,3000,0.24,0.01,-,"SUMINISTRO DE 90 DEGREE ELBOW FEMALE END ASME B16.11 SW 3000# FORGED ASTM A105, 3/4""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2""","MONTAJE AÉREO DE TUBERÍA DE Ø < 2""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø MENORES A 2"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",3028591.0,ASTM A105,ASME B16.11,-
CS2SD2,FT,90L,2.0,"ASTM A105, 90 Degree elbow, ASME B16.11, SW Ends","ELBOW 90 DEG, CS, ASTM A105, ASME B16.11, SW, CLASS 3000","1""",1.0,-,-,-,SW,3000,0.35,0.01,-,"SUMINISTRO DE 90 DEGREE ELBOW FEMALE END ASME B16.11 SW 3000# FORGED ASTM A105, 1""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2""","MONTAJE AÉREO DE TUBERÍA DE Ø < 2""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø MENORES A 2"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",3028590.0,ASTM A105,ASME B16.11,-
CS2SD2,FT,90L,2.0,"ASTM A105, 90 Degree elbow, ASME B16.11, SW Ends","ELBOW 90 DEG, CS, ASTM A105, ASME B16.11, SW, CLASS 3000","1-1/2""",1.5,-,-,-,SW,3000,0.96,0.02,-,"SUMINISTRO DE 90 DEGREE ELBOW FEMALE END ASME B16.11 SW 3000# FORGED ASTM A105, 1-1/2""","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø < 2""","MONTAJE AÉREO DE TUBERÍA DE Ø < 2""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø MENORES A 2"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",3028296.0,ASTM A105,ASME B16.11,-
CS2SD2,FT,90L,2.0,"ASTM A234 Gr.WPB, 90 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 90 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 80","2""",2.0,-,-,80,BW,-,0.94,0.03,-,"SUMINISTRO DE 90 DEGREE ELBOW LR ASME B16.9 BW WROUGHT S ASTM A234 GR. WPB, 2"", S-80","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 2"" ","MONTAJE AÉREO DE TUBERÍA DE Ø 2""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 2"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",3028313.0,ASTM A234 GR WPB,ASME B16.9,SMLS
CS2SD2,FT,90L,2.0,"ASTM A234 Gr.WPB, 90 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 90 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 30","3""",3.0,-,-,30,BW,-,2.03,0.06,-,"SUMINISTRO DE 90 DEGREE ELBOW LR ASME B16.9 BW WROUGHT S ASTM A234 GR. WPB, 3"", S-30","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 3"" ","MONTAJE AÉREO DE TUBERÍA DE Ø 3""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 3"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",-,,,
CS2SD2,FT,90L,2.0,"ASTM A234 Gr.WPB, 90 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 90 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 30","4""",4.0,-,-,30,BW,-,3.9,0.09,-,"SUMINISTRO DE 90 DEGREE ELBOW LR ASME B16.9 BW WROUGHT S ASTM A234 GR. WPB, 4"", S-30","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 4"" ","MONTAJE AÉREO DE TUBERÍA DE Ø 4""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 4"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",-,,,
CS2SD2,FT,90L,2.0,"ASTM A234 Gr.WPB, 90 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 90 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 40","6""",6.0,-,-,40,BW,-,10.2,0.19,-,"SUMINISTRO DE 90 DEGREE ELBOW LR ASME B16.9 BW WROUGHT S ASTM A234 GR. WPB, 6"", S-40","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 6"" ","MONTAJE AÉREO DE TUBERÍA DE Ø 6""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 6"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",-,,,
CS2SD2,FT,90L,2.0,"ASTM A234 Gr.WPB, 90 Degree elbow Long Radius (R=1.5D), Seamless, ASME B16.9, BW Ends","ELBOW 90 DEG LR, SMLS, CS, ASTM A234 GR WPB, ASME B16.9, BW, SCH 20","8""",8.0,-,-,20,BW,-,16.57,0.33,-,"SUMINISTRO DE 90 DEGREE ELBOW LR ASME B16.9 BW WROUGHT S ASTM A234 GR. WPB, 8"", S-20","PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø 8"" ","MONTAJE AÉREO DE TUBERÍA DE Ø 8""","DESMANTELAMIENTO CON CORTE EN FRÍO DE TUBERÍAS AÉREAS DE ACERO AL CARBÓN, ACERO AL CARBON GALVANIZADO O ACERO INOXIDABLE Y ACCESORIOS DE Ø 8"" (INCLUYE TRANSPORTE Y DISPOSICIÓN FINAL)",3028302.0,ASTM A234 GR WPB,ASME B16.9,SMLS
